ASV domain phylum class order family genus species
ASV_1248 Bacteria Actinobacteriota Actinobacteria Propionibacteriales Nocardioidaceae Marmoricola NA
ASV_1249 Bacteria Actinobacteriota Actinobacteria NA NA NA NA
ASV_1250 Bacteria Proteobacteria Gammaproteobacteria WD260 NA NA NA
ASV_1251 Bacteria Proteobacteria Alphaproteobacteria Sphingomonadales Sphingomonadaceae Polymorphobacter NA
ASV_1252 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Xanthobacteraceae NA NA
ASV_1254 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Rhizobiaceae NA NA
ASV_1255 Bacteria Actinobacteriota Acidimicrobiia Microtrichales NA NA NA
ASV_1256 Bacteria Bacteroidota Bacteroidia Sphingobacteriales Sphingobacteriaceae Mucilaginibacter NA
ASV_1257 Bacteria Actinobacteriota Thermoleophilia Solirubrobacterales Solirubrobacteraceae Conexibacter NA
ASV_1258 Bacteria Acidobacteriota Acidobacteriae Acidobacteriales Acidobacteriaceae (Subgroup 1) Occallatibacter NA
ASV_1259 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Oxalobacteraceae NA NA
ASV_1261 Bacteria Actinobacteriota Actinobacteria Corynebacteriales NA NA NA
ASV_1262 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales SC-I-84 NA NA
ASV_1263 Bacteria Actinobacteriota Actinobacteria Propionibacteriales Nocardioidaceae Aeromicrobium NA
ASV_1264 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Xanthobacteraceae Rhodoplanes NA
ASV_1265 Bacteria Acidobacteriota Acidobacteriae Bryobacterales Bryobacteraceae Bryobacter NA
ASV_1266 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Rhizobiaceae NA NA
ASV_1268 Bacteria Proteobacteria Gammaproteobacteria Xanthomonadales Rhodanobacteraceae Dokdonella NA
ASV_1269 Bacteria Actinobacteriota Actinobacteria Propionibacteriales Nocardioidaceae Marmoricola NA
ASV_1270 Bacteria Proteobacteria Gammaproteobacteria R7C24 NA NA NA
ASV_1271 Bacteria Actinobacteriota Acidimicrobiia Microtrichales NA NA NA
ASV_1272 Bacteria Proteobacteria Gammaproteobacteria Xanthomonadales Rhodanobacteraceae Dokdonella NA
ASV_1273 Bacteria Acidobacteriota Thermoanaerobaculia Thermoanaerobaculales Thermoanaerobaculaceae Subgroup 10 NA
ASV_1274 Bacteria Actinobacteriota Actinobacteria Micromonosporales Micromonosporaceae NA NA
ASV_1275 Bacteria Proteobacteria NA NA NA NA NA
ASV_1276 Bacteria Actinobacteriota Actinobacteria Streptomycetales Streptomycetaceae NA NA
ASV_1277 Bacteria Acidobacteriota Subgroup 5 NA NA NA NA
ASV_1278 Bacteria Actinobacteriota Actinobacteria Pseudonocardiales Pseudonocardiaceae Amycolatopsis NA
ASV_1279 Bacteria Bacteroidota Bacteroidia Sphingobacteriales Sphingobacteriaceae Mucilaginibacter NA
ASV_1280 Bacteria Actinobacteriota Actinobacteria Frankiales Acidothermaceae Acidothermus NA
ASV_1281 Bacteria Bacteroidota Bacteroidia Chitinophagales Chitinophagaceae Niastella NA
ASV_1282 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Xanthobacteraceae NA NA
ASV_1283 Bacteria Actinobacteriota Thermoleophilia Solirubrobacterales Solirubrobacteraceae Conexibacter NA
ASV_1284 Bacteria Actinobacteriota Actinobacteria Micrococcales Demequinaceae Demequina NA
ASV_1286 Bacteria Acidobacteriota Acidobacteriae Bryobacterales Bryobacteraceae Bryobacter NA
ASV_1287 Bacteria Bacteroidota Bacteroidia Cytophagales Microscillaceae NA NA
ASV_1288 Bacteria Actinobacteriota Actinobacteria Propionibacteriales Nocardioidaceae Nocardioides NA
ASV_1289 Bacteria Actinobacteriota Actinobacteria Streptomycetales Streptomycetaceae NA NA
ASV_1290 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Xanthobacteraceae NA NA
ASV_1291 Bacteria Actinobacteriota Actinobacteria Propionibacteriales Nocardioidaceae Nocardioides NA
ASV_1292 Bacteria Actinobacteriota Actinobacteria Micrococcales Microbacteriaceae NA NA
ASV_1293 Bacteria Verrucomicrobiota Verrucomicrobiae Chthoniobacterales Chthoniobacteraceae Chthoniobacter NA
ASV_1294 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Oxalobacteraceae [Aquaspirillum] arcticum group NA
ASV_1295 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Nitrosomonadaceae IS-44 NA
ASV_1296 Bacteria Actinobacteriota Thermoleophilia Solirubrobacterales Solirubrobacteraceae Conexibacter NA
ASV_1297 Bacteria Acidobacteriota Thermoanaerobaculia Thermoanaerobaculales Thermoanaerobaculaceae Subgroup 10 NA
ASV_1298 Bacteria Actinobacteriota Thermoleophilia Solirubrobacterales 67-14 NA NA
ASV_1299 Bacteria Actinobacteriota Actinobacteria NA NA NA NA
ASV_1301 Bacteria Actinobacteriota Actinobacteria Frankiales Cryptosporangiaceae Cryptosporangium NA
ASV_1302 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Rhizobiales Incertae Sedis Bauldia NA
ASV_1303 Bacteria Actinobacteriota Actinobacteria Frankiales NA NA NA
ASV_1304 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Rhizobiaceae NA NA
ASV_1305 Bacteria Verrucomicrobiota Verrucomicrobiae Chthoniobacterales Chthoniobacteraceae Candidatus Udaeobacter NA
ASV_1306 Bacteria Planctomycetota Planctomycetes Isosphaerales Isosphaeraceae NA NA
ASV_1307 Bacteria NA NA NA NA NA NA
ASV_1308 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Comamonadaceae NA NA
ASV_1310 Bacteria Planctomycetota Planctomycetes Isosphaerales Isosphaeraceae Aquisphaera NA
ASV_1311 Bacteria Bacteroidota Bacteroidia Chitinophagales Chitinophagaceae Ferruginibacter NA
ASV_1312 Bacteria Actinobacteriota Actinobacteria Frankiales Acidothermaceae Acidothermus NA
ASV_1313 Bacteria Bacteroidota Bacteroidia Chitinophagales Chitinophagaceae Puia NA
ASV_1314 Bacteria Bacteroidota Bacteroidia Sphingobacteriales Sphingobacteriaceae Mucilaginibacter NA
ASV_1315 Bacteria Proteobacteria Gammaproteobacteria WD260 NA NA NA
ASV_1316 Bacteria Actinobacteriota Actinobacteria Frankiales Acidothermaceae Acidothermus NA
ASV_1317 Bacteria Actinobacteriota Thermoleophilia Solirubrobacterales 67-14 NA NA
ASV_1318 Bacteria Actinobacteriota Thermoleophilia Solirubrobacterales Solirubrobacteraceae Conexibacter NA
ASV_1319 Bacteria Actinobacteriota Thermoleophilia Solirubrobacterales Solirubrobacteraceae Conexibacter NA
ASV_1320 Bacteria Actinobacteriota Acidimicrobiia IMCC26256 NA NA NA
ASV_1321 Bacteria Bacteroidota Bacteroidia Chitinophagales Chitinophagaceae Puia NA
ASV_1322 Bacteria Actinobacteriota Actinobacteria NA NA NA NA
ASV_1323 Bacteria Actinobacteriota Actinobacteria Propionibacteriales Nocardioidaceae Nocardioides NA
ASV_1324 Bacteria Proteobacteria Gammaproteobacteria R7C24 NA NA NA
ASV_1325 Bacteria Bacteroidota Bacteroidia Chitinophagales Chitinophagaceae NA NA
ASV_1326 Bacteria Proteobacteria Alphaproteobacteria Reyranellales Reyranellaceae Reyranella NA
ASV_1327 Bacteria Firmicutes Bacilli Bacillales Planococcaceae Lysinibacillus NA
ASV_1329 Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae Acinetobacter NA
ASV_1330 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Comamonadaceae NA NA
ASV_1331 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Rhizobiaceae Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium NA
ASV_1333 Bacteria Myxococcota Polyangia Haliangiales Haliangiaceae Haliangium NA
ASV_1334 Bacteria Actinobacteriota Actinobacteria Propionibacteriales Nocardioidaceae NA NA
ASV_1335 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Comamonadaceae NA NA
ASV_1336 Bacteria Actinobacteriota Actinobacteria Propionibacteriales Nocardioidaceae Nocardioides NA
ASV_1337 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Xanthobacteraceae Rhodoplanes NA
ASV_1339 Bacteria Proteobacteria Alphaproteobacteria Sphingomonadales Sphingomonadaceae NA NA
ASV_1341 Bacteria Acidobacteriota Acidobacteriae Subgroup 2 NA NA NA
ASV_1342 Bacteria Actinobacteriota Actinobacteria Frankiales Acidothermaceae Acidothermus NA
ASV_1343 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Nitrosomonadaceae Ellin6067 NA
ASV_1344 Archaea Crenarchaeota Nitrososphaeria Nitrososphaerales Nitrososphaeraceae NA NA
ASV_1345 Bacteria Actinobacteriota Actinobacteria Propionibacteriales Nocardioidaceae Aeromicrobium NA
ASV_1346 Bacteria Actinobacteriota Acidimicrobiia IMCC26256 NA NA NA
ASV_1347 Bacteria Actinobacteriota Actinobacteria Streptomycetales Streptomycetaceae Streptomyces NA
ASV_1348 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Xanthobacteraceae NA NA
ASV_1349 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales A21b NA NA
ASV_1350 Bacteria Actinobacteriota Actinobacteria Corynebacteriales Nocardiaceae Rhodococcus NA
ASV_1351 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Comamonadaceae NA NA
ASV_1352 Bacteria Firmicutes Bacilli Bacillales NA NA NA
ASV_1353 Bacteria Bacteroidota Bacteroidia Cytophagales Microscillaceae Chryseolinea NA
ASV_1354 Bacteria Acidobacteriota Acidobacteriae NA NA NA NA
ASV_1355 Bacteria Acidobacteriota Acidobacteriae Acidobacteriales Acidobacteriaceae (Subgroup 1) Acidicapsa NA
ASV_1356 Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas NA
ASV_1357 Bacteria Actinobacteriota Actinobacteria Frankiales Acidothermaceae Acidothermus NA
ASV_1358 Bacteria Gemmatimonadota Gemmatimonadetes Gemmatimonadales Gemmatimonadaceae Gemmatimonas NA
ASV_1359 Bacteria Firmicutes Bacilli Bacillales NA NA NA
ASV_1360 Bacteria Actinobacteriota Actinobacteria Streptosporangiales Thermomonosporaceae Actinocorallia NA
ASV_1361 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Comamonadaceae NA NA
ASV_1362 Bacteria Acidobacteriota Acidobacteriae Solibacterales Solibacteraceae Candidatus Solibacter NA
ASV_1363 Bacteria Bacteroidota Bacteroidia Chitinophagales Chitinophagaceae Edaphobaculum NA
ASV_1364 Bacteria Actinobacteriota Thermoleophilia Gaiellales Gaiellaceae Gaiella NA
ASV_1365 Bacteria Actinobacteriota Actinobacteria Corynebacteriales Mycobacteriaceae Mycobacterium NA
ASV_1366 Bacteria Actinobacteriota MB-A2-108 NA NA NA NA
ASV_1367 Bacteria Actinobacteriota Actinobacteria Pseudonocardiales Pseudonocardiaceae NA NA
ASV_1368 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales NA NA NA
ASV_1369 Bacteria Myxococcota Myxococcia Myxococcales Anaeromyxobacteraceae Anaeromyxobacter NA
ASV_1370 Bacteria Gemmatimonadota Gemmatimonadetes Gemmatimonadales Gemmatimonadaceae Gemmatimonas NA
ASV_1371 Bacteria Bacteroidota Bacteroidia Chitinophagales Chitinophagaceae NA NA
ASV_1372 Bacteria Proteobacteria Gammaproteobacteria Xanthomonadales Rhodanobacteraceae Dokdonella NA
ASV_1374 Bacteria Actinobacteriota Acidimicrobiia IMCC26256 NA NA NA
ASV_1375 Bacteria Acidobacteriota Acidobacteriae Acidobacteriales Acidobacteriaceae (Subgroup 1) NA NA
ASV_1376 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Xanthobacteraceae NA NA
ASV_1377 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Xanthobacteraceae NA NA
ASV_1378 Bacteria Actinobacteriota Actinobacteria Micromonosporales Micromonosporaceae NA NA
ASV_1379 Bacteria Actinobacteriota Thermoleophilia Solirubrobacterales Solirubrobacteraceae Conexibacter NA
ASV_1380 Bacteria Actinobacteriota Actinobacteria Pseudonocardiales Pseudonocardiaceae NA NA
ASV_1382 Bacteria Actinobacteriota Actinobacteria Corynebacteriales Mycobacteriaceae Mycobacterium NA
ASV_1383 Bacteria Actinobacteriota Actinobacteria Micrococcales Microbacteriaceae NA NA
ASV_1385 Bacteria Actinobacteriota Acidimicrobiia IMCC26256 NA NA NA
ASV_1386 Bacteria Proteobacteria Gammaproteobacteria NA NA NA NA
ASV_1387 Bacteria Chloroflexi Ktedonobacteria Ktedonobacterales Ktedonobacteraceae Ktedonobacter NA
ASV_1388 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Comamonadaceae NA NA
ASV_1389 Bacteria Bacteroidota Bacteroidia Sphingobacteriales Sphingobacteriaceae Mucilaginibacter NA
ASV_1390 Bacteria Myxococcota Polyangia NA NA NA NA
ASV_1391 Bacteria Actinobacteriota Actinobacteria Propionibacteriales Nocardioidaceae Nocardioides NA
ASV_1392 Bacteria Chloroflexi TK10 NA NA NA NA
ASV_1393 Bacteria Actinobacteriota Thermoleophilia Solirubrobacterales Solirubrobacteraceae Conexibacter NA
ASV_1394 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Nitrosomonadaceae IS-44 NA
ASV_1395 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales NA NA NA
ASV_1396 Bacteria Actinobacteriota Thermoleophilia Solirubrobacterales Solirubrobacteraceae Solirubrobacter NA
ASV_1397 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Xanthobacteraceae NA NA
ASV_1398 Bacteria Myxococcota Polyangia Polyangiales Polyangiaceae Pajaroellobacter NA
ASV_1399 Bacteria Actinobacteriota Actinobacteria Frankiales Acidothermaceae Acidothermus NA
ASV_1400 Bacteria Verrucomicrobiota Verrucomicrobiae Chthoniobacterales Chthoniobacteraceae Candidatus Udaeobacter NA
ASV_1401 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Comamonadaceae NA NA
ASV_1402 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Comamonadaceae NA NA
ASV_1404 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Rhizobiaceae NA NA
ASV_1405 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales NA NA NA
ASV_1406 Bacteria Actinobacteriota Actinobacteria Frankiales Acidothermaceae Acidothermus NA
ASV_1407 Bacteria Desulfobacterota Desulfuromonadia Geobacterales NA NA NA
ASV_1408 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Burkholderiaceae Burkholderia-Caballeronia-Paraburkholderia NA
ASV_1409 Bacteria Myxococcota Polyangia Polyangiales Polyangiaceae Minicystis NA
ASV_1410 Bacteria Acidobacteriota Acidobacteriae Solibacterales Solibacteraceae Candidatus Solibacter NA
ASV_1411 Bacteria NA NA NA NA NA NA
ASV_1412 Bacteria Bacteroidota Bacteroidia Chitinophagales Chitinophagaceae Puia NA
ASV_1413 Bacteria Acidobacteriota Acidobacteriae Bryobacterales Bryobacteraceae Bryobacter NA
ASV_1415 Bacteria Bacteroidota Bacteroidia Chitinophagales Chitinophagaceae Ferruginibacter NA
ASV_1416 Bacteria Actinobacteriota Thermoleophilia Solirubrobacterales 67-14 NA NA
ASV_1417 Bacteria Actinobacteriota Thermoleophilia Solirubrobacterales 67-14 NA NA
ASV_1418 Bacteria Firmicutes Desulfitobacteriia Desulfitobacteriales Desulfitobacteriaceae Desulfosporosinus NA
ASV_1420 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Xanthobacteraceae Pseudolabrys NA
ASV_1421 Bacteria Firmicutes Bacilli Bacillales Planococcaceae NA NA
ASV_1422 Bacteria Actinobacteriota Thermoleophilia Solirubrobacterales 67-14 NA NA
ASV_1423 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales A21b NA NA
ASV_1424 Bacteria Gemmatimonadota Gemmatimonadetes Gemmatimonadales Gemmatimonadaceae Gemmatimonas NA
ASV_1425 Bacteria Actinobacteriota NA NA NA NA NA
ASV_1426 Bacteria Proteobacteria Alphaproteobacteria NA NA NA NA
ASV_1427 Bacteria Actinobacteriota Actinobacteria Micromonosporales Micromonosporaceae NA NA
ASV_1428 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Comamonadaceae NA NA
ASV_1429 Bacteria Firmicutes Bacilli Bacillales Planococcaceae NA NA
ASV_1430 Bacteria Bacteroidota Bacteroidia Chitinophagales Chitinophagaceae NA NA
ASV_1431 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Beijerinckiaceae Roseiarcus NA
ASV_1432 Bacteria Bacteroidota Bacteroidia Chitinophagales Chitinophagaceae Chitinophaga NA
ASV_1433 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Xanthobacteraceae NA NA
ASV_1434 Bacteria Proteobacteria Gammaproteobacteria WD260 NA NA NA
ASV_1435 Bacteria Actinobacteriota Thermoleophilia Solirubrobacterales Solirubrobacteraceae Conexibacter NA
ASV_1436 Bacteria Actinobacteriota Actinobacteria Kineosporiales Kineosporiaceae Kineosporia NA
ASV_1437 Bacteria Bacteroidota Bacteroidia Chitinophagales Chitinophagaceae Puia NA
ASV_1439 Bacteria Proteobacteria Alphaproteobacteria Micropepsales Micropepsaceae NA NA
ASV_1440 Bacteria Firmicutes Bacilli Paenibacillales Paenibacillaceae Ammoniphilus NA
ASV_1441 Bacteria Actinobacteriota Thermoleophilia Solirubrobacterales Solirubrobacteraceae NA NA
ASV_1442 Bacteria Myxococcota Polyangia Haliangiales Haliangiaceae Haliangium NA
ASV_1443 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Comamonadaceae NA NA
ASV_1445 Bacteria Bacteroidota Bacteroidia Chitinophagales Chitinophagaceae NA NA
ASV_1446 Bacteria Actinobacteriota Actinobacteria Micromonosporales Micromonosporaceae NA NA
ASV_1447 Bacteria Proteobacteria Alphaproteobacteria Acetobacterales Acetobacteraceae NA NA
ASV_1448 Bacteria Actinobacteriota Actinobacteria Streptomycetales Streptomycetaceae NA NA
ASV_1450 Bacteria Actinobacteriota Actinobacteria Frankiales Geodermatophilaceae Blastococcus NA
ASV_1451 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Nitrosomonadaceae mle1-7 NA
ASV_1452 Bacteria Bdellovibrionota Oligoflexia 0319-6G20 NA NA NA
ASV_1453 Bacteria Acidobacteriota Acidobacteriae Acidobacteriales Acidobacteriaceae (Subgroup 1) NA NA
ASV_1454 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales A21b NA NA
ASV_1455 Bacteria Actinobacteriota Actinobacteria Frankiales NA NA NA
ASV_1456 Bacteria Actinobacteriota Actinobacteria Propionibacteriales Nocardioidaceae Nocardioides NA
ASV_1457 Bacteria Actinobacteriota Actinobacteria Kineosporiales Kineosporiaceae NA NA
ASV_1458 Bacteria Proteobacteria Gammaproteobacteria Xanthomonadales Rhodanobacteraceae Rhodanobacter NA
ASV_1459 Bacteria Actinobacteriota Actinobacteria Micromonosporales Micromonosporaceae NA NA
ASV_1460 Bacteria Actinobacteriota Actinobacteria Propionibacteriales Nocardioidaceae Kribbella NA
ASV_1461 Bacteria NA NA NA NA NA NA
ASV_1462 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Labraceae Labrys NA
ASV_1463 Bacteria Actinobacteriota Thermoleophilia NA NA NA NA
ASV_1464 Bacteria Proteobacteria Alphaproteobacteria Caulobacterales Caulobacteraceae Phenylobacterium NA
ASV_1465 Bacteria Actinobacteriota Thermoleophilia Gaiellales Gaiellaceae Gaiella NA
ASV_1466 Bacteria Actinobacteriota Acidimicrobiia Microtrichales Microtrichaceae IMCC26207 NA
ASV_1467 Bacteria Firmicutes Bacilli Paenibacillales Paenibacillaceae Paenibacillus NA
ASV_1468 Bacteria Actinobacteriota Actinobacteria Micrococcales Microbacteriaceae NA NA
ASV_1470 Bacteria Firmicutes Bacilli Bacillales Planococcaceae NA NA
ASV_1472 Bacteria Actinobacteriota Thermoleophilia Solirubrobacterales 67-14 NA NA
ASV_1473 Bacteria Actinobacteriota Actinobacteria Frankiales Frankiaceae Jatrophihabitans NA
ASV_1474 Bacteria NA NA NA NA NA NA
ASV_1475 Bacteria Actinobacteriota Actinobacteria Micromonosporales Micromonosporaceae NA NA
ASV_1477 Bacteria NA NA NA NA NA NA
ASV_1478 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Oxalobacteraceae NA NA
ASV_1479 Bacteria Bacteroidota Bacteroidia Sphingobacteriales Sphingobacteriaceae Mucilaginibacter NA
ASV_1480 Bacteria NA NA NA NA NA NA
ASV_1481 Bacteria Actinobacteriota Actinobacteria Propionibacteriales Nocardioidaceae Kribbella NA
ASV_1482 Bacteria Bacteroidota Bacteroidia Chitinophagales Chitinophagaceae Puia NA
ASV_1483 Bacteria Actinobacteriota Actinobacteria Micromonosporales Micromonosporaceae NA NA
ASV_1484 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Comamonadaceae NA NA
ASV_1485 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales NA NA NA
ASV_1486 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Comamonadaceae NA NA
ASV_1487 Bacteria Actinobacteriota Actinobacteria Propionibacteriales Nocardioidaceae Aeromicrobium NA
ASV_1488 Bacteria Myxococcota Polyangia Polyangiales BIrii41 NA NA
ASV_1489 Bacteria Bacteroidota Bacteroidia Chitinophagales Chitinophagaceae Puia NA
ASV_1490 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Oxalobacteraceae NA NA
ASV_1491 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Xanthobacteraceae NA NA
ASV_1492 Bacteria Proteobacteria Alphaproteobacteria NA NA NA NA
ASV_1493 Bacteria Bacteroidota Bacteroidia Cytophagales NA NA NA
ASV_1494 Bacteria Actinobacteriota Actinobacteria Frankiales Frankiaceae Jatrophihabitans NA
ASV_1495 Bacteria NA NA NA NA NA NA
ASV_1496 Bacteria Proteobacteria Alphaproteobacteria Caulobacterales Caulobacteraceae Phenylobacterium NA
ASV_1498 Bacteria Acidobacteriota Thermoanaerobaculia Thermoanaerobaculales Thermoanaerobaculaceae Subgroup 10 NA
ASV_1499 Bacteria Verrucomicrobiota Verrucomicrobiae Chthoniobacterales Chthoniobacteraceae Candidatus Udaeobacter NA
ASV_1500 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales KF-JG30-B3 NA NA
ASV_1501 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Rhizobiaceae NA NA
ASV_1502 Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae Pseudomonas NA
ASV_1503 Bacteria Proteobacteria Alphaproteobacteria Sphingomonadales Sphingomonadaceae Sphingomonas NA
ASV_1504 Bacteria Proteobacteria Alphaproteobacteria Sphingomonadales Sphingomonadaceae NA NA
ASV_1505 Bacteria Actinobacteriota Actinobacteria Frankiales Cryptosporangiaceae Cryptosporangium NA
ASV_1506 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales SC-I-84 NA NA
ASV_1507 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Oxalobacteraceae NA NA
ASV_1508 Bacteria Myxococcota Polyangia Polyangiales Phaselicystidaceae Phaselicystis NA
ASV_1509 Bacteria Actinobacteriota Actinobacteria Frankiales Acidothermaceae Acidothermus NA
ASV_1510 Bacteria Myxococcota Polyangia Haliangiales Haliangiaceae Haliangium NA
ASV_1511 Bacteria Chloroflexi TK10 NA NA NA NA
ASV_1512 Bacteria Actinobacteriota Thermoleophilia Solirubrobacterales Solirubrobacteraceae Conexibacter NA
ASV_1514 Bacteria Verrucomicrobiota Verrucomicrobiae Chthoniobacterales Chthoniobacteraceae Candidatus Udaeobacter NA
ASV_1515 Bacteria Acidobacteriota Acidobacteriae Acidobacteriales Acidobacteriaceae (Subgroup 1) Granulicella NA
ASV_1516 Bacteria Myxococcota Myxococcia Myxococcales Anaeromyxobacteraceae Anaeromyxobacter NA
ASV_1517 Bacteria Actinobacteriota Acidimicrobiia IMCC26256 NA NA NA
ASV_1518 Bacteria Firmicutes Bacilli Bacillales Bacillaceae Bacillus NA
ASV_1519 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Xanthobacteraceae NA NA
ASV_1520 Bacteria Actinobacteriota Actinobacteria Corynebacteriales Nocardiaceae Williamsia NA
ASV_1521 Bacteria Actinobacteriota Actinobacteria Micromonosporales Micromonosporaceae NA NA
ASV_1522 Bacteria Actinobacteriota Actinobacteria Micromonosporales Micromonosporaceae NA NA
ASV_1523 Bacteria Actinobacteriota Actinobacteria Catenulisporales Catenulisporaceae Catenulispora NA
ASV_1524 Bacteria Bacteroidota Bacteroidia Chitinophagales Chitinophagaceae Puia NA
ASV_1525 Bacteria Actinobacteriota Actinobacteria Corynebacteriales NA NA NA
ASV_1526 Bacteria Verrucomicrobiota Verrucomicrobiae Chthoniobacterales Chthoniobacteraceae Candidatus Udaeobacter NA
ASV_1527 Bacteria Actinobacteriota Thermoleophilia Solirubrobacterales 67-14 NA NA
ASV_1528 Bacteria Proteobacteria Gammaproteobacteria Gammaproteobacteria Incertae Sedis Unknown Family_4 Acidibacter NA
ASV_1529 Bacteria Chloroflexi Dehalococcoidia S085 NA NA NA
ASV_1530 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Rhizobiaceae NA NA
ASV_1531 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Burkholderiaceae Burkholderia-Caballeronia-Paraburkholderia NA
ASV_1532 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales SC-I-84 NA NA
ASV_1533 Bacteria Actinobacteriota Actinobacteria Frankiales Acidothermaceae Acidothermus NA
ASV_1534 Bacteria Myxococcota Polyangia Haliangiales Haliangiaceae Haliangium NA
ASV_1535 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Xanthobacteraceae NA NA
ASV_1536 Bacteria Actinobacteriota Actinobacteria Streptomycetales Streptomycetaceae Streptacidiphilus NA
ASV_1537 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Xanthobacteraceae NA NA
ASV_1538 Bacteria Actinobacteriota Actinobacteria NA NA NA NA
ASV_1539 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Comamonadaceae NA NA
ASV_1540 Bacteria Firmicutes Bacilli Bacillales NA NA NA
ASV_1541 Bacteria Acidobacteriota Acidobacteriae Acidobacteriales Acidobacteriaceae (Subgroup 1) NA NA
ASV_1542 Bacteria Actinobacteriota Thermoleophilia Solirubrobacterales Solirubrobacteraceae NA NA
ASV_1543 Bacteria Bacteroidota Bacteroidia Chitinophagales Chitinophagaceae Puia NA
ASV_1544 Bacteria Proteobacteria Gammaproteobacteria Xanthomonadales Rhodanobacteraceae Luteibacter NA
ASV_1545 Bacteria Bacteroidota Bacteroidia Sphingobacteriales Sphingobacteriaceae Mucilaginibacter NA
ASV_1546 Bacteria NA NA NA NA NA NA
ASV_1547 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales SC-I-84 NA NA
ASV_1548 Bacteria Actinobacteriota Actinobacteria Micromonosporales Micromonosporaceae Actinoplanes NA
ASV_1549 Bacteria Proteobacteria Gammaproteobacteria WD260 NA NA NA
ASV_1550 Bacteria Bacteroidota Bacteroidia Chitinophagales Chitinophagaceae Ferruginibacter NA
ASV_1551 Bacteria Bacteroidota Bacteroidia Chitinophagales Chitinophagaceae Puia NA
ASV_1553 Bacteria NA NA NA NA NA NA
ASV_1554 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Xanthobacteraceae NA NA
