ASV domain phylum class order family genus species
ASV_77 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Burkholderiaceae Burkholderia-Caballeronia-Paraburkholderia NA
ASV_79 Bacteria Actinobacteriota Actinobacteria Frankiales Nakamurellaceae Nakamurella NA
ASV_80 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales NA NA NA
ASV_81 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Xanthobacteraceae NA NA
ASV_82 Bacteria NA NA NA NA NA NA
ASV_83 Bacteria Actinobacteriota Actinobacteria Pseudonocardiales Pseudonocardiaceae NA NA
ASV_85 Bacteria Verrucomicrobiota Verrucomicrobiae Chthoniobacterales Xiphinematobacteraceae Candidatus Xiphinematobacter NA
ASV_87 Bacteria Actinobacteriota Actinobacteria NA NA NA NA
ASV_88 Bacteria Actinobacteriota Actinobacteria Frankiales Acidothermaceae Acidothermus NA
ASV_89 Bacteria Proteobacteria Alphaproteobacteria Reyranellales Reyranellaceae Reyranella NA
ASV_90 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Comamonadaceae NA NA
ASV_91 Bacteria Actinobacteriota Actinobacteria Micrococcales Microbacteriaceae NA NA
ASV_92 Bacteria Proteobacteria Gammaproteobacteria JG36-TzT-191 NA NA NA
ASV_93 Bacteria Actinobacteriota Actinobacteria Frankiales Acidothermaceae Acidothermus NA
ASV_94 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Xanthobacteraceae Rhodoplanes NA
ASV_97 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Xanthobacteraceae NA NA
ASV_99 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Comamonadaceae NA NA
ASV_100 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales Comamonadaceae NA NA
ASV_101 Bacteria Proteobacteria Alphaproteobacteria Caulobacterales Caulobacteraceae Phenylobacterium NA
ASV_102 Bacteria Acidobacteriota Acidobacteriae Acidobacteriales Koribacteraceae Candidatus Koribacter NA
ASV_103 Bacteria Acidobacteriota Acidobacteriae Acidobacteriales Koribacteraceae Candidatus Koribacter NA
ASV_105 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Xanthobacteraceae NA NA
ASV_106 Bacteria Proteobacteria Alphaproteobacteria Rhizobiales Xanthobacteraceae NA NA
