ASV kingdom phylum class order family genus species
ASV_80 Fungi Ascomycota Leotiomycetes Phacidiales Phacidiaceae Gremmenia Gremmenia_infestans
ASV_81 Fungi Ascomycota Leotiomycetes Helotiales NA NA Helotiales_sp
ASV_82 Fungi Ascomycota Leotiomycetes Helotiales Hyaloscyphaceae Lachnum NA
ASV_83 Fungi Basidiomycota Agaricomycetes Trechisporales Hydnodontaceae NA Hydnodontaceae_sp
ASV_84 Fungi Ascomycota Dothideomycetes Pleosporales Melanommataceae NA NA
ASV_86 Fungi Ascomycota Eurotiomycetes Chaetothyriales NA NA NA
ASV_87 Fungi Ascomycota NA NA NA NA NA
ASV_88 Fungi Ascomycota Leotiomycetes Helotiales Hyaloscyphaceae NA Hyaloscyphaceae_sp
ASV_89 Fungi Ascomycota Leotiomycetes Helotiales Hyaloscyphaceae Lachnum NA
ASV_90 Fungi NA NA NA NA NA Fungi_sp
ASV_91 Fungi Ascomycota Leotiomycetes Helotiales Hyaloscyphaceae Lachnum NA
ASV_92 Fungi Ascomycota Dothideomycetes Pleosporales Phaeosphaeriaceae Ophiosphaerella Ophiosphaerella_korrae
ASV_93 Fungi Ascomycota Leotiomycetes Helotiales Helotiaceae Hymenoscyphus Hymenoscyphus_tetracladius
ASV_95 Fungi Ascomycota Eurotiomycetes Chaetothyriales NA NA NA
ASV_96 Fungi Ascomycota Dothideomycetes Pleosporales Melanommataceae NA Melanommataceae_sp
ASV_97 Fungi Basidiomycota Agaricomycetes Thelephorales Thelephoraceae Tomentella Tomentella_sp
ASV_98 Fungi Ascomycota Sordariomycetes NA NA NA NA
ASV_99 Fungi Ascomycota Leotiomycetes Helotiales NA NA NA
ASV_100 Fungi Ascomycota Eurotiomycetes Eurotiales Aspergillaceae Penicillium NA
ASV_102 Fungi NA NA NA NA NA NA
ASV_104 Fungi Basidiomycota Agaricomycetes Atheliales Atheliaceae Tylospora Tylospora_asterophora
ASV_105 Fungi Ascomycota Leotiomycetes Helotiales NA NA NA
ASV_107 Fungi Basidiomycota Agaricomycetes Agaricales Clavariaceae Clavulinopsis Clavulinopsis_helvola
ASV_108 Fungi Ascomycota Sordariomycetes Sordariales Sordariales_fam_Incertae_sedis Conlarium NA
ASV_109 Fungi Basidiomycota Agaricomycetes Atheliales Atheliaceae Amphinema Amphinema_sp
