ASV kingdom phylum class order family genus species
ASV_738 Fungi Ascomycota Leotiomycetes Helotiales NA NA Helotiales_sp
ASV_739 Fungi Ascomycota Leotiomycetes Helotiales Leotiaceae Pezoloma Pezoloma_ericae
ASV_740 Fungi Ascomycota Sordariomycetes Hypocreales NA NA Hypocreales_sp
ASV_741 Fungi Ascomycota Leotiomycetes Helotiales Hyaloscyphaceae Lachnum NA
ASV_742 Fungi Ascomycota Eurotiomycetes Chaetothyriales Herpotrichiellaceae NA NA
ASV_743 Fungi Basidiomycota Agaricomycetes Tremellodendropsidales NA NA Tremellodendropsidales_sp
ASV_744 Fungi Ascomycota Leotiomycetes Helotiales NA NA Helotiales_sp
ASV_745 Fungi Ascomycota Leotiomycetes Helotiales NA NA NA
ASV_747 Fungi NA NA NA NA NA Fungi_sp
ASV_748 Fungi Basidiomycota Agaricomycetes Sebacinales Sebacinaceae Sebacina NA
ASV_749 Fungi Ascomycota Sordariomycetes Hypocreales Nectriaceae NA NA
ASV_750 Fungi Ascomycota NA NA NA NA NA
ASV_751 Fungi Basidiomycota Agaricomycetes Thelephorales Thelephoraceae Tomentella Tomentella_sp
ASV_753 Fungi Basidiomycota Agaricomycetes Agaricales Clavariaceae Ramariopsis Ramariopsis_crocea
ASV_754 Fungi Basidiomycota Agaricomycetes Sebacinales Serendipitaceae Serendipita Serendipita_sp
ASV_755 Fungi Ascomycota Archaeorhizomycetes Archaeorhizomycetales Archaeorhizomycetaceae Archaeorhizomyces Archaeorhizomyces_sp
ASV_756 Fungi NA NA NA NA NA Fungi_sp
ASV_757 Fungi Ascomycota Leotiomycetes Helotiales Helotiaceae Hymenoscyphus Hymenoscyphus_tetracladius
ASV_759 Fungi Basidiomycota Agaricomycetes Sebacinales Serendipitaceae Serendipita Serendipita_sp
ASV_761 Fungi Basidiomycota Agaricomycetes Sebacinales Serendipitaceae Serendipita Serendipita_sp
ASV_762 Fungi Ascomycota Leotiomycetes Helotiales Hyaloscyphaceae NA Hyaloscyphaceae_sp
ASV_763 Fungi Ascomycota Eurotiomycetes Chaetothyriales NA NA NA
ASV_764 Fungi Ascomycota Leotiomycetes Helotiales Dermateaceae NA NA
ASV_765 Fungi NA NA NA NA NA Fungi_sp
ASV_766 Fungi Ascomycota Pezizomycetes Pezizales Pyronemataceae Wilcoxina Wilcoxina_rehmii
ASV_767 Fungi Ascomycota Leotiomycetes Helotiales Hyaloscyphaceae Lachnum NA
ASV_768 Fungi Ascomycota NA NA NA NA NA
ASV_769 Fungi NA NA NA NA NA NA
ASV_770 Fungi Ascomycota NA NA NA NA NA
ASV_771 Fungi Ascomycota Leotiomycetes Helotiales NA NA NA
ASV_773 Fungi Ascomycota Sordariomycetes Hypocreales NA NA Hypocreales_sp
ASV_774 Fungi NA NA NA NA NA NA
ASV_775 Fungi Glomeromycota Glomeromycetes Glomerales Glomeraceae NA Glomeraceae_sp
ASV_776 Fungi Ascomycota Leotiomycetes Helotiales Hyaloscyphaceae Hyaloscypha NA
ASV_777 Fungi Basidiomycota Agaricomycetes Agaricales Hygrophoraceae Hygrocybe Hygrocybe_ceracea
ASV_778 Fungi Basidiomycota Agaricomycetes Agaricales Strophariaceae Galerina Galerina_vittiformis
ASV_779 Fungi NA NA NA NA NA NA
ASV_780 Fungi Basidiomycota Agaricomycetes Agaricales Tricholomataceae Mycena NA
ASV_781 Fungi Ascomycota Dothideomycetes Mytilinidales Gloniaceae NA NA
ASV_782 Fungi Olpidiomycota Olpidiomycetes Olpidiales Olpidiaceae NA Olpidiaceae_sp
ASV_783 Fungi Ascomycota Eurotiomycetes Chaetothyriales Herpotrichiellaceae Cladophialophora Cladophialophora_sp
ASV_784 Fungi Ascomycota NA NA NA NA NA
ASV_785 Fungi Ascomycota Eurotiomycetes Eurotiales Aspergillaceae Penicillium NA
ASV_787 Fungi Basidiomycota Agaricomycetes Thelephorales Thelephoraceae Thelephora Thelephora_terrestris
ASV_790 Fungi Ascomycota Sordariomycetes NA NA NA Sordariomycetes_sp
ASV_791 Fungi Ascomycota Geoglossomycetes Geoglossales Geoglossaceae Trichoglossum Trichoglossum_walteri
ASV_792 Fungi NA NA NA NA NA NA
ASV_794 Fungi Ascomycota Leotiomycetes Helotiales Helotiales_fam_Incertae_sedis NA NA
ASV_795 Fungi Ascomycota Leotiomycetes Helotiales Hyaloscyphaceae Lachnum NA
ASV_796 Fungi Ascomycota Leotiomycetes Helotiales NA NA NA
ASV_797 Fungi Basidiomycota Agaricomycetes Agaricales Stephanosporaceae NA Stephanosporaceae_sp
ASV_798 Fungi Ascomycota Eurotiomycetes Chaetothyriales NA NA NA
ASV_799 Fungi Basidiomycota Agaricomycetes Thelephorales Thelephoraceae Tomentella NA
ASV_800 Fungi Basidiomycota Agaricomycetes Sebacinales Serendipitaceae Serendipita Serendipita_sp
ASV_801 Fungi Basidiomycota Agaricomycetes Thelephorales Thelephoraceae Tomentella NA
ASV_802 Fungi Ascomycota Eurotiomycetes Chaetothyriales Herpotrichiellaceae Capronia Capronia_sp
ASV_803 Fungi Ascomycota Eurotiomycetes Chaetothyriales Herpotrichiellaceae Cladophialophora Cladophialophora_chaetospira
ASV_804 Fungi Basidiomycota Agaricomycetes Atheliales Atheliaceae Amphinema Amphinema_sp
ASV_805 Fungi Basidiomycota Agaricomycetes Trechisporales NA NA Trechisporales_sp
ASV_806 Fungi Basidiomycota Agaricomycetes Agaricales Inocybaceae Inocybe NA
ASV_807 Fungi Ascomycota Leotiomycetes Helotiales NA NA NA
ASV_808 Fungi Ascomycota Leotiomycetes Helotiales Hyaloscyphaceae Gyoerffyella Gyoerffyella_sp
ASV_810 Fungi Ascomycota Leotiomycetes Helotiales NA NA Helotiales_sp
ASV_811 Fungi Ascomycota NA NA NA NA NA
ASV_812 Fungi Ascomycota NA NA NA NA NA
ASV_813 Fungi Basidiomycota Agaricomycetes Russulales Russulaceae Russula Russula_sanguinea
ASV_815 Fungi Ascomycota Leotiomycetes Helotiales NA NA Helotiales_sp
ASV_816 Fungi Ascomycota Dothideomycetes NA NA NA NA
ASV_817 Fungi Basidiomycota Agaricomycetes Agaricales Inocybaceae Inocybe Inocybe_catalaunica
ASV_818 Fungi Ascomycota Leotiomycetes Helotiales Hyaloscyphaceae NA Hyaloscyphaceae_sp
ASV_819 Fungi Ascomycota Leotiomycetes Helotiales Hyaloscyphaceae Lachnum NA
ASV_820 Fungi Ascomycota Pezizomycetes Pezizales Pyronemataceae NA NA
ASV_821 Fungi Ascomycota Leotiomycetes Helotiales NA NA NA
ASV_822 Fungi Ascomycota Sordariomycetes Sordariales Chaetomiaceae NA NA
ASV_823 Fungi Basidiomycota Agaricomycetes Agaricales Strophariaceae Deconica NA
ASV_824 Fungi Ascomycota Sordariomycetes Hypocreales NA NA Hypocreales_sp
ASV_827 Fungi Basidiomycota Agaricomycetes Sebacinales Serendipitaceae Serendipita Serendipita_sp
ASV_828 Fungi Ascomycota NA NA NA NA NA
ASV_829 Fungi Ascomycota Leotiomycetes Helotiales NA NA NA
ASV_830 Fungi NA NA NA NA NA NA
ASV_831 Fungi Ascomycota Leotiomycetes Helotiales Helotiales_fam_Incertae_sedis NA NA
ASV_835 Fungi Ascomycota Leotiomycetes Helotiales NA NA NA
ASV_836 Fungi Basidiomycota Agaricomycetes Agaricales Tricholomataceae Mycena NA
ASV_837 Fungi Basidiomycota Agaricomycetes Sebacinales Serendipitaceae NA Serendipitaceae_sp
ASV_838 Fungi Ascomycota NA NA NA NA Ascomycota_sp
ASV_839 Fungi Ascomycota NA NA NA NA NA
ASV_840 Fungi Ascomycota NA NA NA NA NA
ASV_842 Fungi Basidiomycota Agaricomycetes Russulales Russulaceae Russula Russula_nuoljae
ASV_843 Fungi Ascomycota Leotiomycetes Helotiales Helotiales_fam_Incertae_sedis NA NA
ASV_844 Fungi Basidiomycota Agaricomycetes Thelephorales Thelephoraceae Tomentella NA
ASV_845 Fungi Ascomycota NA NA NA NA NA
ASV_846 Fungi Ascomycota Sordariomycetes Hypocreales Hypocreaceae Trichoderma NA
ASV_847 Fungi Ascomycota Eurotiomycetes Chaetothyriales NA NA NA
ASV_848 Fungi Basidiomycota Agaricomycetes Agaricales NA NA NA
ASV_850 Fungi Ascomycota Leotiomycetes Helotiales Helotiaceae NA NA
ASV_851 Fungi Basidiomycota Agaricomycetes Agaricales Clavariaceae Clavaria Clavaria_flavipes
ASV_852 Fungi Ascomycota Sordariomycetes Hypocreales Ophiocordycipitaceae Tolypocladium Tolypocladium_cylindrosporum
ASV_853 Fungi Ascomycota Sordariomycetes Coniochaetales NA NA Coniochaetales_sp
ASV_854 Fungi Basidiomycota Agaricomycetes Thelephorales Thelephoraceae NA Thelephoraceae_sp
ASV_856 Fungi Ascomycota NA NA NA NA Ascomycota_sp
ASV_857 Fungi Basidiomycota Agaricomycetes Agaricales Tricholomataceae Mycena NA
ASV_858 Fungi Ascomycota Leotiomycetes Helotiales NA NA Helotiales_sp
ASV_859 Fungi Ascomycota NA NA NA NA NA
ASV_860 Fungi Basidiomycota Agaricomycetes Agaricales Entolomataceae Clitopilus Clitopilus_hobsonii
ASV_861 Fungi Ascomycota Eurotiomycetes Chaetothyriales NA NA Chaetothyriales_sp
ASV_862 Fungi Ascomycota Eurotiomycetes Chaetothyriales Herpotrichiellaceae NA Herpotrichiellaceae_sp
ASV_863 Fungi Ascomycota Leotiomycetes Helotiales Helotiales_fam_Incertae_sedis Chalara Chalara_sp
ASV_866 Fungi Ascomycota Leotiomycetes Helotiales Hyaloscyphaceae Lachnum NA
ASV_867 Fungi Ascomycota Leotiomycetes Helotiales NA NA Helotiales_sp
ASV_868 Fungi Basidiomycota Agaricomycetes Russulales Russulaceae Russula NA
ASV_869 Fungi Ascomycota Leotiomycetes Helotiales NA NA NA
ASV_870 Fungi Basidiomycota Agaricomycetes Thelephorales Thelephoraceae NA Thelephoraceae_sp
ASV_873 Fungi Ascomycota Dothideomycetes Pleosporales Didymellaceae Neoascochyta Neoascochyta_paspali
ASV_874 Fungi Ascomycota Leotiomycetes Helotiales Leotiaceae Alatospora Alatospora_sp
ASV_875 Fungi Rozellomycota NA NA NA NA NA
ASV_876 Fungi Ascomycota NA NA NA NA NA
ASV_877 Fungi Ascomycota Leotiomycetes Thelebolales Thelebolaceae Thelebolus NA
ASV_878 Fungi Ascomycota Archaeorhizomycetes Archaeorhizomycetales Archaeorhizomycetaceae Archaeorhizomyces Archaeorhizomyces_sp
ASV_880 Fungi Ascomycota Dothideomycetes Pleosporales NA NA NA
ASV_881 Fungi Ascomycota Leotiomycetes Helotiales Vibrisseaceae Phialocephala Phialocephala_bamuru
ASV_882 Fungi Ascomycota Dothideomycetes Venturiales Sympoventuriaceae Fusicladium Fusicladium_fagi
ASV_883 Fungi NA NA NA NA NA NA
ASV_884 Fungi Ascomycota Sordariomycetes Sordariales Lasiosphaeriaceae NA Lasiosphaeriaceae_sp
ASV_885 Fungi Ascomycota Sordariomycetes Hypocreales Nectriaceae Ilyonectria Ilyonectria_mors-panacis
ASV_886 Fungi Ascomycota Eurotiomycetes Eurotiales Aspergillaceae Penicillium NA
ASV_887 Fungi NA NA NA NA NA NA
ASV_888 Fungi NA NA NA NA NA NA
ASV_889 Fungi Basidiomycota Agaricomycetes Sebacinales Serendipitaceae NA Serendipitaceae_sp
ASV_890 Fungi Ascomycota Leotiomycetes Helotiales NA NA NA
ASV_891 Fungi Ascomycota Leotiomycetes Helotiales NA NA Helotiales_sp
ASV_892 Fungi Ascomycota Leotiomycetes Helotiales Dermateaceae NA Dermateaceae_sp
ASV_893 Fungi Ascomycota Leotiomycetes Helotiales Hyaloscyphaceae Lachnum NA
ASV_894 Fungi Ascomycota Dothideomycetes NA NA NA NA
ASV_895 Fungi NA NA NA NA NA Fungi_sp
ASV_896 Fungi NA NA NA NA NA NA
ASV_898 Fungi Basidiomycota Agaricomycetes Atheliales Atheliaceae Tylospora Tylospora_sp
ASV_899 Fungi Ascomycota Leotiomycetes Helotiales NA NA Helotiales_sp
ASV_900 Fungi Ascomycota Eurotiomycetes Chaetothyriales Herpotrichiellaceae NA NA
ASV_901 Fungi Ascomycota Leotiomycetes Helotiales Helotiales_fam_Incertae_sedis Cadophora Cadophora_sp
ASV_902 Fungi Basidiomycota Agaricomycetes Agaricales Stephanosporaceae NA Stephanosporaceae_sp
ASV_904 Fungi Glomeromycota Glomeromycetes Glomerales Glomeraceae NA Glomeraceae_sp
ASV_905 Fungi Basidiomycota Agaricomycetes Thelephorales Thelephoraceae Tomentella Tomentella_coerulea
ASV_906 Fungi Ascomycota Leotiomycetes Helotiales Hyaloscyphaceae Lachnum NA
ASV_907 Fungi Basidiomycota Tremellomycetes Trichosporonales Trichosporonaceae Apiotrichum Apiotrichum_dulcitum
ASV_908 Fungi Ascomycota Leotiomycetes Helotiales NA NA Helotiales_sp
ASV_909 Fungi Ascomycota Leotiomycetes Helotiales Helotiales_fam_Incertae_sedis Leohumicola NA
ASV_910 Fungi Ascomycota Pezizomycetes Pezizales Pyronemataceae Byssonectria Byssonectria_deformis
ASV_911 Fungi Basidiomycota Agaricomycetes Cantharellales Ceratobasidiaceae NA NA
ASV_912 Fungi Ascomycota Leotiomycetes Helotiales Vibrisseaceae NA NA
ASV_914 Fungi Basidiomycota Agaricomycetes Agaricales Tricholomataceae Mycena NA
ASV_916 Fungi Ascomycota Leotiomycetes Helotiales Dermateaceae Trimmatostroma Trimmatostroma_salicis
ASV_917 Fungi Basidiomycota Agaricomycetes Thelephorales Thelephoraceae Tomentella NA
ASV_918 Fungi Ascomycota Dothideomycetes Pleosporales Melanommataceae NA Melanommataceae_sp
ASV_919 Fungi NA NA NA NA NA NA
ASV_920 Fungi Ascomycota Leotiomycetes Helotiales NA NA NA
ASV_921 Fungi Ascomycota Leotiomycetes Helotiales NA NA NA
ASV_922 Fungi Ascomycota Leotiomycetes Helotiales NA NA Helotiales_sp
ASV_923 Fungi Ascomycota Dothideomycetes Pleosporales Leptosphaeriaceae NA NA
ASV_924 Fungi Ascomycota Leotiomycetes Helotiales NA NA Helotiales_sp
ASV_925 Fungi Ascomycota Leotiomycetes Helotiales Leotiaceae Pezoloma Pezoloma_ericae
ASV_926 Fungi Ascomycota Orbiliomycetes Orbiliales Orbiliaceae NA NA
ASV_927 Fungi Ascomycota Leotiomycetes Helotiales NA NA NA
ASV_928 Fungi Basidiomycota Agaricomycetes Sebacinales Serendipitaceae Serendipita Serendipita_sp
ASV_929 Fungi Basidiomycota Agaricomycetes Trechisporales Hydnodontaceae NA Hydnodontaceae_sp
ASV_930 Fungi Ascomycota Sordariomycetes NA NA NA NA
ASV_931 Fungi Ascomycota Dothideomycetes Pleosporales NA NA Pleosporales_sp
ASV_932 Fungi Basidiomycota Agaricomycetes Sebacinales Sebacinaceae NA Sebacinaceae_sp
ASV_934 Fungi Basidiomycota Agaricomycetes Auriculariales NA NA Auriculariales_sp
ASV_935 Fungi Ascomycota Leotiomycetes Helotiales Hyaloscyphaceae NA Hyaloscyphaceae_sp
ASV_936 Fungi Ascomycota Archaeorhizomycetes Archaeorhizomycetales Archaeorhizomycetaceae Archaeorhizomyces Archaeorhizomyces_sp
ASV_937 Fungi Ascomycota Leotiomycetes Helotiales Leotiaceae Alatospora NA
ASV_938 Fungi Basidiomycota Agaricomycetes Agaricales Clavariaceae NA Clavariaceae_sp
ASV_939 Fungi Ascomycota Leotiomycetes Helotiales NA NA Helotiales_sp
ASV_940 Fungi Ascomycota Leotiomycetes Helotiales NA NA Helotiales_sp
ASV_941 Fungi Basidiomycota Agaricomycetes Agaricales Tricholomataceae Mycena Mycena_sp
ASV_942 Fungi Basidiomycota Agaricomycetes Sebacinales Serendipitaceae Serendipita Serendipita_sp
ASV_943 Fungi Basidiomycota Agaricomycetes Sebacinales Sebacinaceae NA NA
ASV_944 Fungi Mortierellomycota Mortierellomycetes Mortierellales Mortierellaceae Mortierella NA
ASV_946 Fungi Ascomycota Leotiomycetes Helotiales NA NA Helotiales_sp
ASV_947 Fungi Ascomycota Leotiomycetes NA NA NA NA
ASV_948 Fungi Ascomycota Archaeorhizomycetes Archaeorhizomycetales Archaeorhizomycetaceae Archaeorhizomyces NA
ASV_949 Fungi Ascomycota Sordariomycetes Hypocreales Hypocreaceae Trichoderma NA
ASV_950 Fungi Ascomycota Leotiomycetes Helotiales Dermateaceae NA NA
ASV_951 Fungi Ascomycota Leotiomycetes Helotiales Leotiaceae Alatospora NA
ASV_952 Fungi Ascomycota Dothideomycetes Pleosporales NA NA NA
ASV_953 Fungi Basidiomycota Agaricomycetes Atheliales Atheliaceae NA NA
ASV_954 Fungi Ascomycota Eurotiomycetes Verrucariales Verrucariaceae Verrucaria Verrucaria_alpicola
ASV_955 Fungi Rozellomycota Rozellomycotina_cls_Incertae_sedis Rozellomycotina_ord_Incertae_sedis Rozellomycotina_fam_Incertae_sedis Paramicrosporidium Paramicrosporidium_saccamoebae
ASV_956 Fungi Ascomycota Leotiomycetes Helotiales Helotiaceae Allophylaria Allophylaria_subliciformis
ASV_957 Fungi Ascomycota Leotiomycetes Helotiales NA NA Helotiales_sp
ASV_958 Fungi Ascomycota Leotiomycetes Thelebolales Pseudeurotiaceae Pseudogymnoascus Pseudogymnoascus_sp
ASV_959 Fungi Ascomycota Xylonomycetes GS34 NA NA GS34_sp
ASV_960 Fungi Ascomycota Leotiomycetes Helotiales NA NA NA
ASV_961 Fungi Basidiomycota Agaricomycetes Agaricales Clavariaceae NA Clavariaceae_sp
ASV_963 Fungi Ascomycota NA NA NA NA Ascomycota_sp
ASV_964 Fungi Basidiomycota Agaricomycetes Sebacinales Serendipitaceae Serendipita Serendipita_sp
ASV_965 Fungi Ascomycota Sordariomycetes Hypocreales NA NA Hypocreales_sp
ASV_967 Fungi NA NA NA NA NA NA
ASV_968 Fungi NA NA NA NA NA NA
ASV_969 Fungi NA NA NA NA NA NA
ASV_970 Fungi Basidiomycota Agaricomycetes Trechisporales NA NA Trechisporales_sp
ASV_971 Fungi Ascomycota Leotiomycetes Helotiales Hyaloscyphaceae Lachnum NA
ASV_972 Fungi Ascomycota Leotiomycetes Helotiales NA NA NA
ASV_973 Fungi Ascomycota NA NA NA NA NA
ASV_974 Fungi Ascomycota Leotiomycetes Helotiales Helotiales_fam_Incertae_sedis Chalara NA
ASV_975 Fungi Ascomycota Leotiomycetes Helotiales Helotiales_fam_Incertae_sedis NA NA
ASV_976 Fungi Basidiomycota Agaricostilbomycetes Agaricostilbales Chionosphaeraceae NA NA
ASV_977 Fungi Ascomycota Sordariomycetes Coniochaetales NA NA NA
ASV_978 Fungi Basidiomycota Agaricomycetes Agaricales Hygrophoraceae Hygrocybe Hygrocybe_conica
ASV_979 Fungi Ascomycota Leotiomycetes Helotiales NA NA NA
ASV_980 Fungi Ascomycota Leotiomycetes Helotiales NA NA NA
ASV_981 Fungi Basidiomycota Agaricomycetes Agaricales Clavariaceae Ramariopsis Ramariopsis_crocea
ASV_982 Fungi Basidiomycota Agaricomycetes NA NA NA NA
ASV_983 Fungi Ascomycota NA NA NA NA NA
ASV_984 Fungi Ascomycota Leotiomycetes Helotiales NA NA Helotiales_sp
ASV_985 Fungi NA NA NA NA NA NA
ASV_986 Fungi Basidiomycota Agaricomycetes Sebacinales Serendipitaceae Serendipita Serendipita_sp
ASV_989 Fungi Ascomycota Leotiomycetes Helotiales NA NA Helotiales_sp
ASV_990 Fungi Ascomycota Eurotiomycetes Chaetothyriales NA NA Chaetothyriales_sp
ASV_991 Fungi Ascomycota Leotiomycetes Helotiales NA NA NA
ASV_992 Fungi Ascomycota Dothideomycetes Pleosporales Pleosporales_fam_Incertae_sedis Pseudorobillarda Pseudorobillarda_phragmitis
ASV_996 Fungi Ascomycota Leotiomycetes Helotiales Vibrisseaceae Phialocephala Phialocephala_sp
ASV_997 Fungi Ascomycota Leotiomycetes Helotiales Helotiales_fam_Incertae_sedis NA NA
ASV_999 Fungi Ascomycota NA NA NA NA NA
ASV_1000 Fungi Ascomycota Leotiomycetes Helotiales NA NA Helotiales_sp
ASV_1002 Fungi Ascomycota Leotiomycetes Helotiales NA NA NA
ASV_1003 Fungi Ascomycota Leotiomycetes Helotiales NA NA NA
ASV_1004 Fungi Basidiomycota Agaricomycetes Agaricales Clavariaceae Camarophyllopsis Camarophyllopsis_schulzeri
ASV_1005 Fungi Ascomycota Leotiomycetes Helotiales NA NA Helotiales_sp
ASV_1006 Fungi Ascomycota Leotiomycetes NA NA NA NA
ASV_1007 Fungi Basidiomycota Agaricomycetes Cantharellales Ceratobasidiaceae NA Ceratobasidiaceae_sp
ASV_1008 Fungi Ascomycota Leotiomycetes Helotiales Helotiales_fam_Incertae_sedis Leohumicola NA
ASV_1011 Fungi Ascomycota Leotiomycetes Helotiales Helotiales_fam_Incertae_sedis Leohumicola NA
ASV_1012 Fungi Ascomycota Dothideomycetes Mytilinidales Gloniaceae NA NA
ASV_1013 Fungi Ascomycota Eurotiomycetes Chaetothyriales Herpotrichiellaceae NA NA
ASV_1014 Fungi Ascomycota Leotiomycetes Helotiales Leotiaceae Pezoloma Pezoloma_ericae
ASV_1015 Fungi Ascomycota NA NA NA NA NA
ASV_1017 Fungi Ascomycota NA NA NA NA Ascomycota_sp
ASV_1019 Fungi Ascomycota Leotiomycetes Helotiales NA NA NA
ASV_1020 Fungi Basidiomycota Agaricomycetes Agaricales Strophariaceae Deconica NA
ASV_1021 Fungi Ascomycota NA NA NA NA NA
ASV_1023 Fungi Ascomycota Dothideomycetes NA NA NA NA
ASV_1024 Fungi Basidiomycota Agaricomycetes Polyporales Hyphodermataceae Hyphoderma Hyphoderma_orphanellum
ASV_1025 Fungi Ascomycota Eurotiomycetes Chaetothyriales NA NA Chaetothyriales_sp
ASV_1026 Fungi Basidiomycota Agaricomycetes Thelephorales Thelephoraceae Tomentella NA
ASV_1027 Fungi Ascomycota Leotiomycetes Phacidiales Phacidiaceae Gremmenia Gremmenia_infestans
ASV_1028 Fungi Basidiomycota Agaricomycetes Boletales Boletaceae Leccinum NA
ASV_1029 Fungi NA NA NA NA NA NA
ASV_1030 Fungi Ascomycota Leotiomycetes Helotiales NA NA NA
ASV_1031 Fungi Ascomycota Leotiomycetes Helotiales Helotiaceae NA Helotiaceae_sp
ASV_1032 Fungi Ascomycota Leotiomycetes Helotiales Vibrisseaceae Phialocephala NA
ASV_1033 Fungi NA NA NA NA NA NA
ASV_1035 Fungi Ascomycota Eurotiomycetes Chaetothyriales NA NA NA
ASV_1036 Fungi Ascomycota Leotiomycetes Phacidiales Phacidiaceae Gremmenia Gremmenia_infestans
ASV_1037 Fungi Ascomycota NA NA NA NA NA
ASV_1038 Fungi Basidiomycota Tremellomycetes Trichosporonales Trichosporonaceae Apiotrichum NA
ASV_1039 Fungi Ascomycota Eurotiomycetes Chaetothyriales Herpotrichiellaceae Cladophialophora Cladophialophora_sp
ASV_1040 Fungi NA NA NA NA NA Fungi_sp
ASV_1041 Fungi Basidiomycota Agaricomycetes Trechisporales NA NA Trechisporales_sp
ASV_1042 Fungi Ascomycota Leotiomycetes Helotiales Helotiaceae Infundichalara Infundichalara_sp
ASV_1043 Fungi Ascomycota Leotiomycetes Helotiales NA NA Helotiales_sp
ASV_1045 Fungi Ascomycota Sordariomycetes Sordariales NA NA NA
ASV_1046 Fungi Basidiomycota Agaricomycetes NA NA NA NA
ASV_1047 Fungi Rozellomycota Rozellomycotina_cls_Incertae_sedis GS11 NA NA GS11_sp
ASV_1048 Fungi Ascomycota Sordariomycetes Hypocreales NA NA Hypocreales_sp
ASV_1049 Fungi Ascomycota Leotiomycetes Helotiales NA NA Helotiales_sp
ASV_1050 Fungi Ascomycota Leotiomycetes Helotiales NA NA NA
ASV_1051 Fungi NA NA NA NA NA NA
ASV_1053 Fungi Basidiomycota Agaricomycetes Agaricales Clavariaceae Camarophyllopsis Camarophyllopsis_schulzeri
ASV_1054 Fungi Ascomycota Leotiomycetes Helotiales NA NA NA
ASV_1055 Fungi Rozellomycota Rozellomycotina_cls_Incertae_sedis GS11 NA NA GS11_sp
ASV_1056 Fungi Ascomycota Leotiomycetes Helotiales Helotiales_fam_Incertae_sedis NA NA
ASV_1057 Fungi Ascomycota Leotiomycetes Helotiales NA NA NA
ASV_1058 Fungi Ascomycota Eurotiomycetes Chaetothyriales NA NA Chaetothyriales_sp
ASV_1060 Fungi Basidiomycota Agaricomycetes Agaricales Tricholomataceae Mycena Mycena_sp
ASV_1062 Fungi Ascomycota Dothideomycetes Pleosporales Pleosporaceae Drechslera Drechslera_sp
ASV_1063 Fungi Ascomycota NA NA NA NA NA
ASV_1064 Fungi Ascomycota Leotiomycetes Helotiales NA NA NA
ASV_1068 Fungi Ascomycota NA NA NA NA NA
ASV_1069 Fungi Ascomycota NA NA NA NA NA
ASV_1070 Fungi Basidiomycota Agaricomycetes Sebacinales NA NA NA
ASV_1071 Fungi Glomeromycota Glomeromycetes Glomerales Glomeraceae NA Glomeraceae_sp
ASV_1075 Fungi Ascomycota Leotiomycetes Helotiales NA NA Helotiales_sp
ASV_1076 Fungi Ascomycota Dothideomycetes NA NA NA Dothideomycetes_sp
ASV_1077 Fungi Ascomycota Eurotiomycetes Chaetothyriales Herpotrichiellaceae NA Herpotrichiellaceae_sp
ASV_1078 Fungi Ascomycota Archaeorhizomycetes Archaeorhizomycetales Archaeorhizomycetaceae Archaeorhizomyces Archaeorhizomyces_sp
ASV_1080 Fungi Ascomycota NA NA NA NA NA
ASV_1081 Fungi Basidiomycota Agaricomycetes Trechisporales NA NA Trechisporales_sp
ASV_1082 Fungi Basidiomycota Tremellomycetes Tremellales Tremellaceae Filobasidiella Filobasidiella_sp
ASV_1083 Fungi Ascomycota Leotiomycetes Helotiales Leotiaceae Neobulgaria Neobulgaria_sp
ASV_1084 Fungi Ascomycota Leotiomycetes Helotiales NA NA NA
ASV_1085 Fungi Ascomycota Leotiomycetes Helotiales Hyaloscyphaceae NA NA
ASV_1087 Fungi Basidiomycota Tremellomycetes Filobasidiales Piskurozymaceae Solicoccozyma NA
ASV_1088 Fungi Ascomycota Dothideomycetes Pleosporales NA NA NA
ASV_1089 Fungi Ascomycota Dothideomycetes Pleosporales Massarinaceae NA NA
ASV_1090 Fungi Basidiomycota Agaricomycetes Agaricales Hygrophoraceae NA NA
ASV_1091 Fungi Basidiomycota Agaricomycetes Agaricales Hymenogastraceae Hymenogaster Hymenogaster_sp
ASV_1092 Fungi Basidiomycota Agaricomycetes Atheliales Atheliaceae Piloderma Piloderma_sp
ASV_1093 Fungi Ascomycota NA NA NA NA NA
ASV_1094 Fungi Ascomycota Leotiomycetes Helotiales NA NA Helotiales_sp
ASV_1096 Fungi Ascomycota Leotiomycetes NA NA NA Leotiomycetes_sp
ASV_1097 Fungi Ascomycota Sordariomycetes Sordariales Lasiosphaeriaceae Apodus Apodus_deciduus
ASV_1098 Fungi Ascomycota Leotiomycetes Helotiales Hyaloscyphaceae NA Hyaloscyphaceae_sp
ASV_1099 Fungi Ascomycota Leotiomycetes Helotiales NA NA NA
ASV_1101 Fungi Ascomycota Eurotiomycetes Chaetothyriales Herpotrichiellaceae Exophiala NA
ASV_1102 Fungi Ascomycota Dothideomycetes Pleosporales NA NA NA
ASV_1104 Fungi Ascomycota Leotiomycetes Helotiales Helotiales_fam_Incertae_sedis NA NA
ASV_1105 Fungi Basidiomycota Agaricomycetes Agaricales Strophariaceae Protostropharia Protostropharia_semiglobata
ASV_1108 Fungi Basidiomycota Agaricomycetes Sebacinales Serendipitaceae Serendipita Serendipita_sp
ASV_1109 Fungi Ascomycota Leotiomycetes Helotiales NA NA NA
ASV_1110 Fungi Ascomycota Leotiomycetes Helotiales NA NA NA
